respondent_id,age,gender,region,monthly_income_band,household_size,primary_shopping_channel,most_purchased_category,monthly_fmcg_spend_idr,purchase_frequency_per_month,brand_switching_frequency,promotion_response,price_sensitivity_1,price_sensitivity_2,price_sensitivity_3,quality_orientation_1,quality_orientation_2,quality_orientation_3,health_orientation_1,health_orientation_2,health_orientation_3,sustainability_orientation_1,sustainability_orientation_2,sustainability_orientation_3,digital_influence_1,digital_influence_2,digital_influence_3,convenience_orientation_1,convenience_orientation_2,convenience_orientation_3,brand_trust_1,brand_trust_2,brand_trust_3,new_product_intention_1,new_product_intention_2,new_product_intention_3
R0013,27,Woman,Sumatra,IDR 5–10M,3,Supermarket,Food & beverages,810000,10,Never,2.0,2,3,3,4,5,5,3,4,4,3,3,3.0,3,3,2,5,4,5,4,4,4,3,3,3
R0014,18,Woman,Java,< IDR 5M,4,E-commerce,Home care,930000,12,Sometimes,4.0,4,3,3,3,4,3,4,3,2,3,3,4.0,4,4,4,3,3,3,2,3,2,3,3,4
R0015,29,Man,Java,IDR 5–10M,2,Minimarket,Personal care,1070000,8,Rarely,3.0,3,4,4,4,4,3,4,3,4,4,3,3.0,4,3,4,4,5,4,3,4,3,3,3,3
R0016,41,Woman,Java,IDR 10–20M,3,Traditional market,Personal care,1190000,9,Rarely,2.0,3,3,4,3,4,4,4,3,4,3,3,3.0,2,3,3,5,4,5,4,4,5,3,2,2
R0017,27,Woman,Java,> IDR 20M,2,Minimarket,Personal care,1070000,7,Sometimes,5.0,5,4,4,3,3,3,2,3,1,3,3,2.0,3,3,3,4,4,3,2,2,3,3,3,4
R0018,22,Man,Java,< IDR 5M,4,Minimarket,Personal care,1270000,9,Sometimes,3.0,2,3,2,4,4,4,5,5,5,4,4,,3,4,4,3,4,3,5,5,5,4,4,4
R0019,35,Man,Java,IDR 5–10M,4,Minimarket,Personal care,760000,8,Often,4.0,3,3,3,4,4,4,2,3,2,3,4,3.0,4,4,4,5,4,5,4,4,3,5,5,4
R0020,31,Man,Sulawesi,< IDR 5M,2,Minimarket,Food & beverages,620000,5,Rarely,5.0,4,4,4,4,5,4,3,4,4,3,2,3.0,3,3,3,3,3,4,3,4,3,2,3,4
R0021,36,Woman,Java,IDR 10–20M,5,E-commerce,Personal care,1690000,8,Sometimes,3.0,2,2,2,4,4,3,4,3,4,4,3,3.0,3,3,3,3,3,2,4,4,4,4,3,4
R0022,30,Woman,Sumatra,IDR 5–10M,5,E-commerce,Home care,1250000,10,Rarely,3.0,3,3,3,4,3,4,4,4,5,3,3,3.0,4,4,4,4,4,4,4,4,4,4,4,4
R0023,39,Woman,Java,IDR 10–20M,2,E-commerce,Personal care,1190000,6,Rarely,2.0,4,4,3,4,4,4,4,4,4,3,3,3.0,3,4,3,3,3,3,4,4,4,3,3,3
R0024,27,Man,Java,IDR 10–20M,2,E-commerce,Personal care,880000,7,Rarely,5.0,4,4,3,2,3,3,2,2,3,3,2,2.0,2,2,2,3,3,3,3,3,3,3,3,3
R0025,28,Woman,Java,IDR 5–10M,3,Supermarket,Home care,1370000,10,Never,4.0,3,3,3,4,4,4,5,5,5,4,5,4.0,3,4,3,4,3,3,4,4,5,3,3,3
R0026,33,Woman,Kalimantan,> IDR 20M,3,Minimarket,Personal care,950000,7,Often,4.0,4,4,4,2,3,3,4,3,3,3,2,3.0,4,3,3,3,4,3,4,3,3,3,3,3
R0027,21,Woman,Java,IDR 10–20M,2,Minimarket,Personal care,1020000,7,Sometimes,3.0,5,4,4,3,4,3,3,4,3,2,3,2.0,3,3,2,4,3,4,2,2,2,3,2,2
R0028,39,Man,Java,> IDR 20M,4,E-commerce,Personal care,2410000,9,Sometimes,3.0,4,3,3,5,4,4,3,3,3,3,3,4.0,4,3,3,3,4,4,4,5,4,4,4,4
R0029,25,Woman,Kalimantan,IDR 5–10M,4,Minimarket,Food & beverages,600000,9,Often,4.0,4,4,4,4,4,4,2,3,3,2,2,3.0,3,2,2,3,3,4,4,4,3,3,2,3
R0030,18,Man,Java,IDR 10–20M,4,Minimarket,Home care,880000,9,Often,4.0,3,3,3,3,3,4,4,4,4,4,4,4.0,3,4,3,4,4,4,3,3,4,4,4,5
R0031,27,Woman,Java,IDR 10–20M,5,E-commerce,Food & beverages,1080000,13,Never,3.0,3,3,3,4,4,4,3,4,4,3,3,3.0,2,2,2,4,4,4,4,4,3,3,2,2
R0032,18,Woman,Java,< IDR 5M,5,E-commerce,Personal care,580000,10,Rarely,3.0,4,4,4,4,4,4,3,4,3,3,3,3.0,4,5,4,3,3,2,3,3,3,3,4,3
R0033,38,Woman,Java,IDR 5–10M,2,Traditional market,Personal care,1180000,13,Never,3.0,3,3,3,4,4,4,3,3,3,3,3,3.0,2,2,2,4,5,4,3,4,4,3,3,3
R0034,24,Woman,Kalimantan,< IDR 5M,2,Supermarket,Food & beverages,1120000,11,Sometimes,2.0,3,3,2,5,5,4,4,3,4,4,4,4.0,2,3,3,3,3,3,3,4,4,4,4,3
R0035,18,Woman,Sumatra,IDR 5–10M,3,Supermarket,Food & beverages,860000,8,Sometimes,4.0,4,4,4,4,4,3,3,3,4,3,3,3.0,3,3,3,4,5,3,3,4,3,3,4,3
R0036,31,Man,Java,IDR 10–20M,2,Traditional market,Home care,1230000,9,Rarely,3.0,3,3,4,3,3,4,4,4,4,3,3,3.0,3,3,3,3,3,4,3,3,3,3,2,3
R0037,30,Woman,Sulawesi,IDR 5–10M,2,E-commerce,Food & beverages,900000,9,Often,4.0,4,4,5,3,4,4,4,3,4,4,4,5.0,3,3,3,4,4,4,3,3,3,4,4,4
R0038,21,Man,Sulawesi,< IDR 5M,4,Minimarket,Home care,400000,10,Sometimes,4.0,4,4,4,3,3,2,2,3,3,3,3,3.0,3,4,3,3,4,3,3,4,3,3,4,3
R0039,23,Woman,Java,> IDR 20M,3,E-commerce,Personal care,700000,11,Sometimes,4.0,5,5,5,2,3,3,4,3,3,3,2,3.0,4,3,3,4,3,4,3,3,3,2,3,2
R0040,25,Woman,Sumatra,IDR 10–20M,4,Supermarket,Food & beverages,990000,11,Often,4.0,4,3,3,4,4,4,4,3,3,4,4,3.0,5,4,4,4,4,5,3,3,3,4,4,4
R0041,34,Woman,Bali & Nusa Tenggara,IDR 10–20M,4,Minimarket,Home care,1320000,13,Rarely,4.0,4,3,4,5,5,4,3,4,5,3,3,4.0,3,3,4,5,5,5,4,4,5,3,3,3
R0042,18,Woman,Sumatra,IDR 5–10M,6,Supermarket,Food & beverages,860000,6,Sometimes,3.0,3,3,3,4,4,5,4,4,4,3,3,3.0,4,4,4,2,3,3,4,4,4,4,4,4
R0043,34,Man,Java,> IDR 20M,2,Minimarket,Home care,1600000,8,Rarely,2.0,4,3,4,4,4,5,4,5,5,3,3,3.0,3,3,3,3,3,2,4,4,4,3,4,3
R0044,43,Man,Java,IDR 5–10M,5,Minimarket,Home care,960000,10,Rarely,2.0,3,2,2,3,3,3,4,4,3,2,3,4.0,3,2,3,4,4,4,4,5,5,3,4,3
R0045,36,Woman,Sumatra,IDR 10–20M,2,E-commerce,Home care,1130000,9,Rarely,2.0,3,2,2,5,5,4,3,4,3,4,4,4.0,3,4,2,3,3,4,5,5,5,4,4,4
R0046,22,Woman,Java,IDR 5–10M,5,Supermarket,Food & beverages,650000,8,Sometimes,4.0,3,2,3,3,3,3,3,3,4,4,3,4.0,5,5,4,4,4,4,3,3,2,3,4,4
R0047,47,Man,Java,IDR 5–10M,3,Minimarket,Food & beverages,1850000,11,Rarely,3.0,2,2,2,4,3,4,4,4,5,4,4,4.0,3,2,3,4,3,4,5,5,5,3,4,3
R0048,28,Woman,Kalimantan,> IDR 20M,3,Supermarket,Home care,1940000,10,Sometimes,3.0,4,3,4,4,3,4,4,4,5,3,3,4.0,3,3,3,3,3,3,4,4,4,3,4,3
R0049,30,Man,Java,> IDR 20M,3,Minimarket,Food & beverages,1480000,10,Sometimes,1.0,3,3,3,3,3,4,2,2,3,3,3,3.0,3,3,3,2,3,4,4,4,3,3,3,3
R0050,41,Man,Java,> IDR 20M,1,Supermarket,Personal care,1920000,5,Never,,3,3,2,5,4,4,5,5,5,3,4,3.0,2,3,3,3,4,3,5,4,4,4,5,5
R0051,18,Woman,Sulawesi,IDR 5–10M,2,E-commerce,Personal care,870000,6,Rarely,3.0,4,4,3,3,4,3,3,4,4,2,3,4.0,5,5,5,4,5,4,4,3,4,4,5,5
R0052,43,Woman,Java,IDR 10–20M,1,Supermarket,Personal care,1920000,8,Rarely,3.0,3,2,2,5,5,5,4,4,4,3,3,3.0,3,3,2,3,3,3,5,4,4,4,4,3
R0053,37,Man,Java,> IDR 20M,4,Minimarket,Home care,2410000,5,Sometimes,3.0,3,3,4,3,4,4,3,3,3,2,3,3.0,3,4,4,4,4,4,4,4,4,3,3,3
R0054,32,Woman,Java,IDR 5–10M,4,Traditional market,Home care,690000,10,Sometimes,5.0,4,4,4,4,4,4,4,4,3,2,2,2.0,2,2,3,3,3,3,3,3,3,3,3,3
R0055,18,Woman,Java,< IDR 5M,5,E-commerce,Food & beverages,890000,7,Rarely,4.0,4,3,4,5,5,5,3,5,5,2,3,4.0,4,4,5,4,4,4,3,3,3,5,4,4
R0056,19,Woman,Java,< IDR 5M,1,Traditional market,Home care,610000,6,Rarely,4.0,3,2,3,4,3,4,4,4,5,3,3,3.0,4,4,5,3,4,4,4,4,3,5,4,4
R0057,37,Man,Sumatra,> IDR 20M,3,E-commerce,Personal care,1420000,7,Sometimes,5.0,3,3,2,3,4,3,3,3,4,3,4,4.0,4,4,3,3,3,3,3,3,3,5,4,4
R0058,18,Man,Java,IDR 5–10M,3,E-commerce,Home care,990000,12,Often,3.0,2,2,3,3,4,4,4,3,3,3,3,3.0,4,4,4,4,3,4,4,4,3,5,5,5
R0059,31,Woman,Java,IDR 5–10M,4,E-commerce,Personal care,1100000,8,Often,4.0,3,2,4,5,4,4,3,4,4,4,4,5.0,3,4,3,2,2,3,4,4,5,5,5,5
R0060,25,Woman,Sumatra,< IDR 5M,6,Supermarket,Personal care,460000,9,Rarely,4.0,4,4,4,3,3,3,3,3,3,3,3,2.0,3,3,3,3,3,4,3,3,3,2,2,3
R0061,18,Woman,Java,< IDR 5M,1,Supermarket,Home care,550000,12,Rarely,5.0,5,5,4,5,3,3,3,3,2,2,3,2.0,2,2,3,3,2,3,3,3,2,3,2,3
R0062,18,Woman,Java,IDR 10–20M,3,Minimarket,Personal care,850000,7,Sometimes,4.0,3,3,3,3,3,4,5,4,4,4,4,3.0,5,5,5,4,5,4,3,3,4,4,4,3
R0063,26,Man,Java,IDR 5–10M,5,Minimarket,Personal care,1350000,13,Often,5.0,3,3,3,4,4,3,3,4,4,3,4,4.0,3,3,3,3,3,4,3,4,4,4,5,5
R0064,18,Woman,Java,IDR 5–10M,6,Minimarket,Food & beverages,610000,8,Sometimes,5.0,4,4,3,4,3,3,3,4,4,3,4,3.0,4,4,4,3,3,4,3,3,3,4,4,4
R0065,25,Woman,Java,IDR 5–10M,7,Supermarket,Food & beverages,1400000,9,Never,4.0,2,2,3,5,4,4,3,4,4,4,4,4.0,3,3,4,3,3,3,4,4,3,3,4,4
R0066,39,Man,Sumatra,IDR 10–20M,5,Supermarket,Home care,620000,9,Often,5.0,4,5,4,4,3,4,4,4,4,2,4,3.0,3,3,3,3,3,3,3,3,4,2,2,2
R0067,39,Woman,Java,IDR 5–10M,1,Supermarket,Home care,580000,5,Rarely,4.0,5,5,5,3,3,3,3,3,2,3,3,2.0,2,3,3,3,3,3,3,3,3,3,4,3
R0068,31,Man,Bali & Nusa Tenggara,> IDR 20M,4,Supermarket,Food & beverages,1980000,10,Rarely,5.0,4,4,3,4,4,4,4,4,3,3,3,2.0,2,3,2,4,5,4,4,4,4,4,5,4
R0069,40,Woman,Sumatra,< IDR 5M,2,Supermarket,Home care,1210000,9,Sometimes,3.0,3,3,3,5,5,5,4,5,5,4,4,4.0,3,3,3,3,2,3,4,4,4,4,4,3
R0070,40,Man,Java,IDR 5–10M,1,Minimarket,Home care,1180000,8,Rarely,3.0,2,2,2,4,3,3,3,3,3,3,3,4.0,3,2,3,4,4,4,4,4,4,3,4,3
R0071,42,Man,Sumatra,IDR 10–20M,3,Supermarket,Home care,1180000,11,Rarely,3.0,2,4,3,4,5,4,5,4,4,4,5,4.0,4,3,4,4,3,3,4,4,4,5,3,4
R0072,32,Woman,Sumatra,IDR 5–10M,2,Minimarket,Personal care,980000,12,Rarely,3.0,3,3,3,4,3,3,4,3,3,3,4,4.0,2,3,3,4,4,5,3,3,4,4,4,4
R0073,32,Woman,Java,< IDR 5M,2,Traditional market,Personal care,590000,6,Rarely,4.0,4,5,4,3,3,4,3,3,3,2,3,2.0,4,3,3,3,3,3,3,3,4,4,3,3
R0074,40,Woman,Java,> IDR 20M,1,Supermarket,Food & beverages,1470000,9,Rarely,4.0,3,4,3,4,4,3,3,4,3,3,2,2.0,3,3,3,4,4,4,5,4,5,3,2,2
R0075,30,Man,Sulawesi,IDR 5–10M,3,Traditional market,Food & beverages,570000,6,Rarely,4.0,5,4,4,3,4,3,5,4,4,5,4,5.0,3,3,4,5,5,4,3,3,3,3,3,3
R0076,18,Man,Sulawesi,IDR 5–10M,2,E-commerce,Personal care,950000,5,Rarely,4.0,5,5,4,4,5,5,4,4,4,2,3,3.0,5,5,5,5,4,4,3,4,3,5,5,4
R0077,34,Woman,Sumatra,> IDR 20M,3,Minimarket,Home care,1300000,9,Often,4.0,4,3,4,4,3,3,3,2,2,3,3,2.0,3,3,4,4,4,4,3,4,4,2,2,2
R0078,19,Woman,Java,> IDR 20M,3,Minimarket,Food & beverages,490000,5,Often,4.0,4,2,4,2,2,3,2,2,2,4,4,3.0,4,4,4,4,4,4,5,4,5,5,4,4
R0079,35,Man,Java,IDR 5–10M,2,E-commerce,Home care,1400000,7,Rarely,3.0,3,3,3,4,4,3,5,4,5,4,4,4.0,3,3,3,5,4,4,3,4,4,4,4,4
R0080,37,Man,Java,IDR 10–20M,2,E-commerce,Home care,770000,6,Sometimes,5.0,4,3,4,3,2,3,3,3,3,3,3,3.0,3,2,2,3,3,3,4,3,3,4,4,3
R0081,37,Woman,Java,IDR 5–10M,3,Traditional market,Food & beverages,580000,7,Sometimes,4.0,4,5,5,3,3,3,3,3,3,2,3,2.0,3,4,3,3,3,3,3,2,3,2,3,2
R0082,44,Woman,Sumatra,IDR 10–20M,4,Minimarket,Food & beverages,1170000,13,Never,3.0,3,3,3,3,4,4,3,4,3,3,3,3.0,3,4,4,4,4,4,3,3,4,2,2,2
R0083,26,Man,Bali & Nusa Tenggara,< IDR 5M,1,Minimarket,Food & beverages,640000,6,Sometimes,5.0,3,3,3,4,4,4,3,2,3,3,3,3.0,3,3,3,3,2,3,3,3,4,3,3,3
R0084,30,Woman,Sumatra,< IDR 5M,5,Minimarket,Personal care,700000,5,Sometimes,4.0,3,3,4,4,3,4,3,3,3,4,3,3.0,5,5,5,4,4,4,4,4,4,5,5,5
R0085,18,Woman,Kalimantan,< IDR 5M,7,E-commerce,Food & beverages,580000,11,Sometimes,3.0,4,3,4,4,4,4,4,4,4,3,3,3.0,5,4,4,4,4,4,4,4,4,4,5,4
R0086,42,Man,Java,IDR 10–20M,4,Minimarket,Food & beverages,1130000,11,Rarely,2.0,2,2,2,5,4,4,3,3,3,3,3,3.0,2,2,3,4,4,4,4,4,4,3,3,3
R0087,47,Woman,Java,IDR 10–20M,3,E-commerce,Personal care,1450000,10,Never,3.0,3,4,3,4,4,3,4,4,3,3,3,4.0,3,2,3,5,4,4,4,4,4,3,3,3
R0088,22,Man,Sumatra,< IDR 5M,3,Traditional market,Food & beverages,790000,6,Sometimes,5.0,5,4,4,3,3,3,3,3,2,3,3,3.0,4,3,3,2,2,3,3,3,2,4,3,3
R0089,18,Woman,Sumatra,< IDR 5M,4,E-commerce,Personal care,670000,12,Often,5.0,3,3,4,4,4,3,3,2,3,3,4,3.0,5,5,4,4,4,3,3,4,3,5,5,5
R0090,33,Woman,Java,IDR 10–20M,4,Supermarket,Personal care,1450000,9,Never,3.0,3,2,3,3,4,3,4,4,3,3,2,2.0,3,3,2,4,5,5,3,4,4,2,1,3
R0091,36,Man,Kalimantan,IDR 10–20M,2,Supermarket,Personal care,1460000,8,Often,4.0,3,3,3,4,4,4,4,4,4,4,4,4.0,3,3,4,2,3,3,5,5,5,3,4,3
R0092,30,Woman,Java,< IDR 5M,3,E-commerce,Food & beverages,670000,6,Sometimes,5.0,3,3,4,3,4,4,3,3,3,4,3,4.0,4,4,4,3,3,4,3,2,3,5,5,4
R0093,29,Man,Java,> IDR 20M,6,Traditional market,Home care,1670000,12,Rarely,4.0,3,3,3,3,3,3,2,3,3,3,3,3.0,3,4,4,4,5,5,4,4,5,3,3,4
R0094,45,Man,Java,IDR 5–10M,1,Minimarket,Home care,1100000,9,Rarely,2.0,3,3,4,4,3,4,3,3,3,3,3,3.0,3,3,4,5,3,4,5,5,5,4,4,3
R0095,23,Man,Sumatra,IDR 10–20M,5,Supermarket,Personal care,960000,8,Sometimes,2.0,3,3,3,5,4,4,3,3,3,3,4,3.0,4,4,4,4,4,4,2,3,2,4,3,4
R0096,40,Woman,Java,IDR 10–20M,6,E-commerce,Personal care,1840000,11,Rarely,3.0,3,3,3,4,5,4,4,4,4,4,4,4.0,3,3,2,3,3,3,5,4,5,3,3,3
R0097,38,Woman,Sumatra,IDR 5–10M,4,E-commerce,Personal care,680000,6,Often,5.0,4,4,4,2,2,3,3,3,3,3,2,2.0,3,3,4,4,4,4,3,3,3,3,4,4
R0098,38,Man,Bali & Nusa Tenggara,< IDR 5M,1,Minimarket,Food & beverages,660000,8,Sometimes,3.0,4,2,3,4,3,3,4,3,4,2,2,4.0,5,4,5,4,4,4,4,3,4,3,4,3
R0099,27,Woman,Java,IDR 10–20M,3,Traditional market,Home care,1040000,7,Rarely,4.0,5,4,5,3,3,3,3,3,3,2,2,2.0,3,3,3,3,3,3,3,3,3,2,3,2
R0100,18,Man,Sumatra,IDR 5–10M,4,Minimarket,Food & beverages,930000,5,Often,5.0,3,4,3,3,3,3,3,3,3,4,4,3.0,4,4,3,5,4,5,4,4,4,4,4,4
R0101,39,Man,Sumatra,> IDR 20M,1,Supermarket,Home care,1380000,12,Never,3.0,3,4,3,3,3,3,3,3,3,3,3,4.0,3,2,3,3,4,4,4,4,4,4,4,4
R0102,24,Woman,Java,IDR 5–10M,3,E-commerce,Home care,1290000,12,Never,2.0,3,3,2,3,3,3,3,3,3,3,3,4.0,2,3,3,4,4,5,4,4,4,3,3,3
R0103,35,Woman,Java,IDR 5–10M,2,Supermarket,Home care,1020000,9,Often,4.0,3,3,3,4,4,4,4,3,4,3,4,3.0,4,5,5,4,4,3,4,4,3,4,3,4
R0104,18,Woman,Sulawesi,IDR 5–10M,3,Minimarket,Personal care,790000,10,Often,4.0,4,4,4,5,5,5,3,3,2,3,4,3.0,3,3,3,3,3,3,2,3,2,4,4,4
R0105,36,Man,Java,< IDR 5M,1,Minimarket,Food & beverages,480000,7,Never,4.0,4,5,4,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,4,3,3,3,3,3
R0106,18,Woman,Sulawesi,IDR 10–20M,3,Traditional market,Personal care,710000,7,Rarely,3.0,3,3,3,4,4,4,3,2,3,1,2,2.0,3,3,3,3,3,3,3,3,2,3,3,3
R0107,29,Man,Java,> IDR 20M,2,E-commerce,Personal care,1920000,9,Rarely,3.0,2,2,2,5,5,5,4,5,5,4,4,4.0,3,3,2,3,3,4,3,4,3,4,4,4
R0108,19,Woman,Sumatra,< IDR 5M,5,E-commerce,Food & beverages,810000,9,Sometimes,5.0,3,4,3,4,4,3,4,3,2,4,3,3.0,3,3,4,4,4,4,3,3,3,4,4,4
R0109,33,Woman,Java,< IDR 5M,2,Minimarket,Home care,460000,8,Sometimes,5.0,5,5,4,4,3,4,2,2,3,2,1,2.0,2,3,3,3,2,3,4,4,4,4,4,3
R0110,33,Woman,Java,IDR 5–10M,2,Traditional market,Home care,1170000,8,Never,2.0,2,3,3,5,5,5,5,5,5,4,3,3.0,4,5,4,3,4,3,4,4,5,4,5,5
R0111,44,Man,Java,IDR 10–20M,2,Minimarket,Home care,890000,10,Never,4.0,3,3,3,5,5,4,3,3,3,2,2,2.0,3,3,3,5,5,4,3,3,3,4,4,4
R0112,28,Woman,Java,IDR 10–20M,6,Minimarket,Personal care,1930000,7,Never,3.0,3,2,3,4,4,4,4,5,4,4,4,3.0,5,4,4,3,4,3,3,3,4,5,4,4
R0113,33,Woman,Sumatra,> IDR 20M,1,Minimarket,Food & beverages,980000,8,Sometimes,5.0,4,4,4,4,3,3,3,3,2,3,3,2.0,4,4,4,3,3,3,2,2,2,2,3,3
R0114,39,Man,Kalimantan,> IDR 20M,2,Minimarket,Home care,2080000,9,Often,3.0,3,3,3,4,5,5,4,4,5,4,3,4.0,4,3,3,4,4,4,4,4,4,4,5,5
R0115,33,Woman,Sulawesi,IDR 5–10M,2,E-commerce,Personal care,1490000,5,Sometimes,3.0,3,3,3,5,5,5,5,5,5,3,3,4.0,2,3,2,4,3,4,5,4,4,3,3,4
R0116,36,Woman,Sumatra,IDR 10–20M,2,E-commerce,Personal care,1210000,9,Sometimes,2.0,3,3,3,4,3,3,4,4,4,4,4,4.0,4,3,3,3,3,3,4,5,5,3,4,4
R0117,34,Woman,Java,IDR 10–20M,2,Minimarket,Food & beverages,810000,6,Rarely,5.0,4,4,4,3,4,3,3,4,3,2,2,3.0,4,3,4,3,3,3,3,4,4,3,3,3
R0118,32,Man,Java,IDR 10–20M,3,E-commerce,Home care,1160000,10,Rarely,2.0,2,2,2,4,4,4,5,4,5,4,4,4.0,3,3,4,2,3,4,4,4,5,3,4,3
R0119,41,Woman,Kalimantan,IDR 5–10M,2,Supermarket,Home care,810000,6,Rarely,3.0,3,3,3,4,4,4,3,3,3,2,3,2.0,2,1,2,4,4,5,5,5,5,3,2,3
R0120,48,Man,Sulawesi,IDR 10–20M,6,E-commerce,Home care,1640000,9,Sometimes,2.0,3,3,3,4,4,4,4,4,3,4,3,4.0,4,4,3,5,4,5,4,4,4,4,4,3
R0121,25,Woman,Kalimantan,IDR 5–10M,2,Supermarket,Home care,900000,8,Often,5.0,5,5,4,4,3,3,2,3,3,2,3,3.0,2,2,2,4,4,4,3,3,3,2,2,2
R0122,25,Woman,Java,IDR 10–20M,2,E-commerce,Personal care,980000,5,Often,4.0,3,4,4,3,4,4,3,4,3,4,3,3.0,4,3,4,3,4,3,2,2,2,4,5,4
R0123,35,Woman,Java,IDR 5–10M,1,Supermarket,Food & beverages,1570000,4,Never,3.0,3,3,3,3,3,4,2,2,3,3,3,3.0,3,2,3,4,4,5,4,4,4,3,4,4
R0124,49,Woman,Sumatra,> IDR 20M,1,Supermarket,Home care,1680000,7,Often,4.0,2,3,3,5,4,5,4,3,4,4,4,4.0,4,4,4,4,4,4,4,4,4,4,4,3
R0125,27,Woman,Sumatra,IDR 5–10M,1,Supermarket,Personal care,610000,10,Sometimes,5.0,4,5,5,3,3,4,2,3,3,3,3,3.0,3,3,3,2,3,2,3,4,4,3,3,2
R0126,31,Woman,Java,< IDR 5M,2,E-commerce,Food & beverages,890000,8,Sometimes,2.0,3,4,4,4,3,3,4,3,3,4,3,4.0,4,4,4,4,4,5,2,2,3,3,2,3
R0127,47,Man,Java,IDR 5–10M,3,Minimarket,Home care,1080000,11,Rarely,,2,2,2,5,4,4,4,4,4,3,3,2.0,3,3,2,4,4,4,4,4,4,3,3,4
R0128,23,Woman,Java,IDR 10–20M,5,E-commerce,Personal care,960000,10,Often,4.0,4,4,4,4,3,4,4,4,5,3,3,3.0,4,4,5,4,4,4,3,3,4,4,4,4
R0129,28,Man,Sumatra,IDR 10–20M,3,Minimarket,Home care,1580000,13,Sometimes,2.0,2,3,3,4,4,4,2,2,2,3,3,3.0,4,3,3,5,4,5,4,5,4,3,2,3
R0130,21,Woman,Java,> IDR 20M,3,Supermarket,Personal care,830000,9,Never,5.0,3,4,4,4,3,3,3,2,3,1,2,2.0,2,3,2,4,3,4,4,4,3,4,4,5
R0131,25,Man,Java,IDR 5–10M,3,E-commerce,Personal care,860000,8,Sometimes,4.0,3,3,3,3,4,3,3,2,3,3,3,3.0,5,4,5,4,5,4,3,3,4,3,4,3
R0132,27,Woman,Java,IDR 10–20M,3,Supermarket,Personal care,1390000,8,Often,4.0,2,3,2,4,4,3,4,4,3,4,3,3.0,5,4,5,4,4,4,3,3,3,4,3,4
R0133,29,Woman,Kalimantan,> IDR 20M,3,E-commerce,Food & beverages,1180000,8,Often,4.0,3,4,3,4,4,4,3,5,5,4,5,4.0,4,3,3,5,4,4,4,3,3,4,4,4
